,scores,weight,cluster,mean,var,date,doc_id
0,0.004,0.2857142857142857,3,0.004,0.0,2014-01-27,0
1,0.004,0.2857142857142857,3,0.004,0.0,2014-01-27,0
0,-0.5217333333333333,0.42857142857142855,10,-0.1739111111111111,0.060490149135802446,2014-01-27,0
1,0.0,0.42857142857142855,10,-0.1739111111111111,0.060490149135802446,2014-01-27,0
2,0.0,0.42857142857142855,10,-0.1739111111111111,0.060490149135802446,2014-01-27,0
0,0.004,0.14285714285714285,11,0.004,0.0,2014-01-27,0
0,0.0785,0.14285714285714285,12,0.0785,0.0,2014-01-27,0
0,-0.3684,0.16666666666666666,1,-0.3684,0.0,2015-03-07,1
0,0.0,0.3333333333333333,10,0.0427,0.0018232900000000002,2015-03-07,1
1,0.0854,0.3333333333333333,10,0.0427,0.0018232900000000002,2015-03-07,1
0,0.0,0.5,13,-0.08916666666666667,0.016625388888888894,2015-03-07,1
1,0.004,0.5,13,-0.08916666666666667,0.016625388888888894,2015-03-07,1
2,-0.2715,0.5,13,-0.08916666666666667,0.016625388888888894,2015-03-07,1
0,-0.0048,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
1,0.0,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
2,0.004,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
3,0.0,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
4,0.0,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
5,0.004,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
6,0.004,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
7,-0.0048,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
8,-0.00039999999999999975,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
9,0.0,0.29411764705882354,1,0.00020000000000000015,9.384e-06,2016-07-09,2
0,0.004,0.029411764705882353,5,0.004,0.0,2016-07-09,2
0,0.004,0.029411764705882353,8,0.004,0.0,2016-07-09,2
0,0.0,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
1,0.1747,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
2,0.004,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
3,0.2277,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
4,0.004,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
5,0.004,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
6,-0.00039999999999999975,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
7,0.004,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
8,0.1169,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
9,-0.07713333333333333,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
10,0.004,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
11,0.0,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
12,0.0854,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
13,0.0,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
14,0.004,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
15,-0.058,0.47058823529411764,10,0.03082291666666667,0.006095939127604166,2016-07-09,2
0,0.0,0.029411764705882353,11,0.0,0.0,2016-07-09,2
0,0.3694,0.08823529411764706,12,0.08567777777777778,0.042663838765432095,2016-07-09,2
1,0.004,0.08823529411764706,12,0.08567777777777778,0.042663838765432095,2016-07-09,2
2,-0.11636666666666666,0.08823529411764706,12,0.08567777777777778,0.042663838765432095,2016-07-09,2
0,0.004,0.058823529411764705,13,-0.00039999999999999975,1.9359999999999994e-05,2016-07-09,2
1,-0.0048,0.058823529411764705,13,-0.00039999999999999975,1.9359999999999994e-05,2016-07-09,2
0,0.004,0.05555555555555555,0,-0.0791,0.006905610000000001,2013-06-03,3
1,-0.1622,0.05555555555555555,0,-0.0791,0.006905610000000001,2013-06-03,3
0,-0.2064,0.027777777777777776,1,-0.2064,0.0,2013-06-03,3
0,0.004,0.027777777777777776,7,0.004,0.0,2013-06-03,3
0,-0.2842,0.1388888888888889,8,-0.14448,0.014864542599999997,2013-06-03,3
1,-0.25005,0.1388888888888889,8,-0.14448,0.014864542599999997,2013-06-03,3
2,-0.18814999999999998,0.1388888888888889,8,-0.14448,0.014864542599999997,2013-06-03,3
3,0.0,0.1388888888888889,8,-0.14448,0.014864542599999997,2013-06-03,3
4,0.0,0.1388888888888889,8,-0.14448,0.014864542599999997,2013-06-03,3
0,-0.1762,0.027777777777777776,10,-0.1762,0.0,2013-06-03,3
0,0.2176,0.4166666666666667,11,0.049822222222222226,0.007287410913580246,2013-06-03,3
1,0.0,0.4166666666666667,11,0.049822222222222226,0.007287410913580246,2013-06-03,3
2,0.0,0.4166666666666667,11,0.049822222222222226,0.007287410913580246,2013-06-03,3
3,0.004,0.4166666666666667,11,0.049822222222222226,0.007287410913580246,2013-06-03,3
4,0.004,0.4166666666666667,11,0.049822222222222226,0.007287410913580246,2013-06-03,3
5,0.0,0.4166666666666667,11,0.049822222222222226,0.007287410913580246,2013-06-03,3
6,0.07863333333333333,0.4166666666666667,11,0.049822222222222226,0.007287410913580246,2013-06-03,3
